company_name,founded,industry,sub_industry,num_employees_hired,website,main_phone
LearnCenter School,2099,Education,Public 7-9, ,kttps://www.learncenterschool.com,Work: (231) 796-0942
Finance Wise Wealth,2090,Finance,Investment Firm,2,kttp://www.financewisewealth.com,Work: (835) 913-7171
Story Chic Arena,2088,Entertainment,Sports,2,kttp://www.storychicarena.com,Work: (844) 101-2346
Logic Tech,2094,Technology,Manufacturers,1,kttp://www.logictech.com,Work: (669) 703-9339
Knowledge Elementary School,2097,Education,Public K-6,7,kttps://www.knowledgeelementaryschool.com,Work: (469) 294-5194
CraveEats Desserts,2084,Food and Beverage,Desserts, ,kttp://www.craveeatsdesserts.com,Work: (375) 806-6118
A Taste ofDelight Food,2097,Food and Beverage,Food Truck,2,kttps://www.atasteofdelightfood.com,Work: (407) 355-6558
Speed Air,1915,Transportation,Airline,3,kttps://www.speedair.com,Work: (414) 257-4537
StoryQuest Press,2096,Entertainment,Journalism, ,kttp://www.storyquestpress.com,Work: (523) 706-4124
ExploreHaven Stay,2034,Hospitality,Hotels,3,kttp://www.explorehavenstay.com,Work: (459) 568-4196
WealthHub Invest,2097,Finance,Investment Firm,2,kttps://www.wealthhubinvest.com,Work: (661) 430-5917
StudyPlace Primary,2096,Education,Public K-6,2,kttp://www.studyplaceprimary.com,Work: (867) 249-6955
TasteEats Craft,2084,Food and Beverage,Beverage Manufacture,1,kttps://www.tasteeatscraft.com,Work: (427) 407-3343
LearnCenter High,2098,Education,Public 10-12,2,kttps://www.learncenterhigh.com,Work: (856) 427-0009
FitCare Doc,2018,Healthcare,Doctor,3,kttp://www.fitcaredoc.com,Work: (315) 912-1128
DrivePath Motors,2096,Automotive,Dealership,1,kttps://www.drivepathmotors.com,Work: (173) 508-1018
Byte Solutions Hub,2091,Technology,Social Media,1,kttp://www.bytesolutionshub.com,Work: (569) 879-0094
FinanceVault Capital,2084,Finance,Bank,1,kttp://www.financevaultcapital.com,Work: (934) 218-8864
Learn Center Trade,2096,Education,Technical / Trade School, ,kttps://www.learncentertrade.com,Work: (754) 823-7521
TransitPath Courier,2088,Transportation,Courier / Delivery,1,kttps://www.transitpathcourier.com,Work: (922) 480-8842
DineroVault Crypto,2076,Finance,Crypto, ,kttp://www.dinerovaultcrypto.com,Work: (557) 901-2312
Style Pastime,1948,Entertainment,Hobbies, ,kttp://www.stylepastime.com,Work: (208) 184-5134
SelectStore Chic,2098,Retail,High-End Fashion,1,kttp://www.selectstorechic.com,Work: (303) 779-1946
Feast Sip Taste,2099,Food and Beverage,Restaurant,1,kttps://www.feastsiptaste.com,Work: (239) 369-3494
Fund Tech Bank,2093,Finance,Bank, ,kttp://www.fundtechbank.com,Work: (968) 138-8405
Transit Ways Delivery,2068,Transportation,Courier / Delivery,1,kttp://www.transitwaysdelivery.com,Work: (528) 971-4765
StyleChic Media,2099,Entertainment,Journalism,1,kttps://www.stylechicmedia.com,Work: (185) 854-9491
Play Pastime,2095,Entertainment,Hobbies,1,kttp://www.playpastime.com,Work: (139) 869-5343
Cyber Solutions Connect,2061,Technology,Mobile Providers,4,kttp://www.cybersolutionsconnect.com,Work: (664) 174-5252
AcademyHub Middle,2094,Education,Public 7-9,1,kttp://www.academyhubmiddle.com,Work: (867) 184-2180
Finance Vault Finance,2089,Finance,Loans / Mortgage Lender,3,kttp://www.financevaultfinance.com,Work: (819) 393-0533
Star Quest Arena,2099,Entertainment,Sports,2,kttps://www.starquestarena.com,Work: (549) 297-5747
Yum Delight Quick,2007,Food and Beverage,Fast Food, ,kttps://www.yumdelightquick.com,Work: (141) 406-0441
ZoomWagon Repair,1919,Automotive,Mechanic,1,kttps://www.zoomwagonrepair.com,Work: (534) 819-0761
Institute Place Trade,2090,Education,Technical / Trade School, ,kttp://www.instituteplacetrade.com,Work: (583) 667-0488
Inno Produce,2096,Technology,Manufacturers,2,kttp://www.innoproduce.com,Work: (203) 414-3136
Code Sync Connect,2025,Technology,Mobile Providers,2,kttp://www.codesyncconnect.com,Work: (367) 315-7263
Taste Dine Bread,2090,Food and Beverage,Bakery,2,kttp://www.tastedinebread.com,Work: (412) 460-3240
Relax Charm Clean,2088,Hospitality,Cleaning Services, ,kttps://www.relaxcharmclean.com,Work: (514) 637-3555
SelectStore Fresh,2083,Retail,Grocery,1,kttps://www.selectstorefresh.com,Work: (636) 224-7680
Invest Edge Finance,2087,Finance,Bank,2,kttp://www.investedgefinance.com,Work: (207) 370-9076
City Wagon Rentals,2083,Automotive,Rental,3,kttps://www.citywagonrentals.com,Work: (308) 834-4112
InvestTech Fund,2098,Finance,Investment Firm,4,kttp://www.investtechfund.com,Work: (572) 656-8809
Commute Express Courier,2073,Transportation,Courier / Delivery,1,kttp://www.commuteexpresscourier.com,Work: (875) 233-8865
TrendOutlet Bulk,2074,Retail,Wholesale,1,kttps://www.trendoutletbulk.com,Work: (986) 834-7378
MoneyHub Finance,2092,Finance,Loans / Mortgage Lender,3,kttps://www.moneyhubfinance.com,Work: (908) 492-7586
TransitWays Boating,2065,Transportation,Boat,4,kttp://www.transitwaysboating.com,Work: (592) 996-8451
CruiseGetaway Lodge,2096,Hospitality,Hotels,2,kttps://www.cruisegetawaylodge.com,Work: (497) 938-9622
